"id","first_name","last_name","date_of_birth","enrollment_date"
1,"Alice","Smith","2002-05-14","2023-09-01"
2,"Bob","Johnson","2001-11-22","2024-01-15"
3,"Carol","Williams","2003-03-30","2025-02-10"
4,"David","Brown","2002-07-19","2022-08-20"
5,"Eva","Jones","2004-01-05","2024-06-12"
7,"Grace","Martinez","2001-12-28","2025-03-18"
8,"Henry","Rodriguez","2002-04-09","2024-05-30"
9,"Ivy","Lee","2003-10-23","2022-12-05"
10,"Jack","Walker","2004-06-11","2023-07-22"
6,"Frank","Johnston","2003-09-17","2025-01-01"
